Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
eg`PL@@@EclbdQRbfdRQfrbRbqgdVTvuUTuUUMMUTuDJHrCRYH\LT@	2o4j	414.627	6.2598	-4.846	3	3	332.1	60.69	none	none	none	30	4	5	CC(C)(CCC/C(/C)=C(/CC1)\[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(C[C@H](C1=C)O)C[C@H]1O)O	InChI=1S/C27H42O3/c1-18(8-6-14-26(3,4)30)22-12-13-23-21(9-7-15-27(22,23)5)11-10-20-16-24(28)19(2)25(29)17-20/h10-11,23-25,28-30H,2,6-9,12-17H2,1,3-5H3/t23-,24-,25+,27-/m1/s1	PCPYFQNISYYIPU-HIQYAUPDSA-N	
ekXzB@@DJCAm`@en\bbTTbbjVbrbbRbQTtRTTVULlfnIeiEuMZjjjjj`hFbB`B`BBJLHyLd}DT@@	1sdu	613.800	2.8457	-3.323	9	4	476.03	118.03	none	none	none	45	5	12	CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnccc2)C1)=O	InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/t28-,29+,31+,32-,33+/m1/s1	CBVCZFGXHXORBI-PXQQMZJSSA-N	
ekXtN@@DG`JEGHnklbbTTRbbbtRLtVRTvvbRTVVL|Jfv~YeuMZjjhJj@J@fJB@@B@FLDQFDHmHe@@	1d4h	610.705	2.4246	-4.941	9	5	466.55	137.35	none	none	none	45	6	14	O[C@H]([C@H]([C@H](C(N[C@H]([C@@H](C1)O)c2c1cccc2)=O)OCc1ccccc1)O)[C@H](C(NCc1ccccc1)=O)OCc1ccccc1	InChI=1S/C36H38N2O7/c39-29-20-27-18-10-11-19-28(27)30(29)38-36(43)34(45-23-26-16-8-3-9-17-26)32(41)31(40)33(44-22-25-14-6-2-7-15-25)35(42)37-21-24-12-4-1-5-13-24/h1-19,29-34,39-41H,20-23H2,(H,37,42)(H,38,43)/t29-,30+,31-,32-,33-,34-/m1/s1	KMCYORONTQQGJB-VQEIZDKSSA-N	
ec[RIHHFFhTXDLCKOG`^POCClddvbbRbTTrfeRRfbeaTTjdqutKUUUMMTEAQLuUMTU@DHeBBgt@@	1bxo	637.688	-1.4745	-3.799	13	4	487.77	201.87	none	none	none	44	5	10	CC(C)C[C@H](NC([C@H](CC(NCc1cccc(C[C@@H](C(OC)=O)O2)c1)=O)NC([C@H](C(C)C)NC(CC(C)C)=O)=O)=O)[P@]2([O-])=O	InChI=1S/C30H47N4O9P/c1-17(2)11-25(36)33-27(19(5)6)29(38)32-22-15-24(35)31-16-21-10-8-9-20(13-21)14-23(30(39)42-7)43-44(40,41)26(12-18(3)4)34-28(22)37/h8-10,13,17-19,22-23,26-27H,11-12,14-16H2,1-7H3,(H,31,35)(H,32,38)(H,33,36)(H,34,37)(H,40,41)/p-1/t22-,23-,26+,27-/m0/s1	BOYAGOIPWLIWCX-IDJLGEMNSA-M	
efsvJD@LBOL`|~DakoP@aLHrQQ[SQIPjJJZJIKJISIQIYJGRjIXTFVMSDrbvzneutsL@ETuUUTD@@@DCTuD@dQPiMRY@@	1bv9	758.922	6.8511	-7.956	11	4	562.47	204.47	none	none	none	54	4	12	O[C@@H]([C@@H](Cc1ccccc1)N(Cc1cc(C(Nc2nccs2)=O)ccc1)C(N(Cc1cccc(C(Nc2nccs2)=O)c1)[C@@H]1Cc2ccccc2)=O)[C@H]1O	InChI=1S/C41H38N6O5S2/c48-35-33(23-27-9-3-1-4-10-27)46(25-29-13-7-15-31(21-29)37(50)44-39-42-17-19-53-39)41(52)47(34(36(35)49)24-28-11-5-2-6-12-28)26-30-14-8-16-32(22-30)38(51)45-40-43-18-20-54-40/h1-22,33-36,48-49H,23-26H2,(H,42,44,50)(H,43,45,51)/t33-,34+,35+,36-	JDALSSGOBMTZEP-IYMPVJEUSA-N	
ee{qF@@DLEKKaXzpCFibP|bbbVbbbbVNfbtTtRRVbabRTVcbtRTVPNNoh|{UUPMPQUUAPTLEATMT@@@ppddUNdmJX@@	1hvl	794.995	2.777	-5.174	14	6	628.8	189.12	none	none	none	58	6	19	CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H]([C@@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(N(C)Cc1ncccc1)=O)=O)O)O)=O)NC(N(C)Cc1ncccc1)=O	InChI=1S/C44H58N8O6/c1-29(2)37(49-43(57)51(5)27-33-21-13-15-23-45-33)41(55)47-35(25-31-17-9-7-10-18-31)39(53)40(54)36(26-32-19-11-8-12-20-32)48-42(56)38(30(3)4)50-44(58)52(6)28-34-22-14-16-24-46-34/h7-24,29-30,35-40,53-54H,25-28H2,1-6H3,(H,47,55)(H,48,56)(H,49,57)(H,50,58)/t35-,36-,37-,38-,39+,40+/m0/s1	QPVWMQXBTCSLCB-RRUVMKMCSA-N	
ehzvJ@@DJCDmnPMHaf\bbTTRTRaTRTNbJbbRbVbQRTbT\JzaiIEMCZ`hF`fBbjB`jFjjj@i`aAJiOHeBp@	1hxb	670.852	2.836	-5.658	11	5	515.96	166.75	none	none	none	49	6	13	CC(C)(C)NC([C@H]1N(C[C@H]([C@H](Cc2ccccc2)NC([C@H](CC(N)=O)NC(c2nc3ccccc3cc2)=O)=O)O)C[C@@H](CCCC2)[C@@H]2C1)=O	InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30+,31+,32+,33-/m1/s1	QWAXKHKRTORLEM-KAIAYICASA-N	
fbuaC@AZADAbHqBSJ{O]LmFV]@AUMUUEcbMGH@	2std	334.673	4.1878	-4.584	2	1	231.59	29.1	high	low	high	20	3	4	CC[C@@]([C@H]1C)(C1(Cl)Cl)C(N[C@H](C)c(cc1)ccc1Cl)=O	InChI=1S/C15H18Cl3NO/c1-4-14(10(3)15(14,17)18)13(20)19-9(2)11-5-7-12(16)8-6-11/h5-10H,4H2,1-3H3,(H,19,20)/t9-,10+,14+/m1/s1	RXDMAYSSBPYBFW-BFVZDQMLSA-N	
efUQDBHBIG@lflRUJPIAzP~d@YAj\bbbRRffbbTVLRbRdL\S@`RVUUrNMLDDSUKMTEPUPtRP@@	1z6e	529.477	0.203	-6.104	10	3	387.67	121.23	none	none	none	38	0	7	C[NH+](C)Cc1nccn1-c(cc1)cc(F)c1NC(c1cc(C(F)(F)F)nn1-c(cc1)cc2c1onc2N)=O	InChI=1S/C24H20F4N8O2/c1-34(2)12-21-30-7-8-35(21)13-3-5-17(16(25)10-13)31-23(37)18-11-20(24(26,27)28)32-36(18)14-4-6-19-15(9-14)22(29)33-38-19/h3-11H,12H2,1-2H3,(H2,29,33)(H,31,37)/p+1	OFJRNBWSFXEHSA-UHFFFAOYSA-O	
e`ztA@@DG`JEGHnke\bbTTRbbbtRLtVRTvvbbRbbrigaTvwwIhnkokUUUAUPAPDqPT@T@PDBXHbLHQZQJPre@@	1eby	652.742	2.2586	-4.932	10	6	484.4	157.58	none	none	none	48	8	13	O[C@H]([C@H]([C@H](C(N[C@H]([C@@H](C1)O)c2c1cccc2)=O)OCc1ccccc1)O)[C@H](C(N[C@H]([C@@H](C1)O)c2c1cccc2)=O)OCc1ccccc1	InChI=1S/C38H40N2O8/c41-29-19-25-15-7-9-17-27(25)31(29)39-37(45)35(47-21-23-11-3-1-4-12-23)33(43)34(44)36(48-22-24-13-5-2-6-14-24)38(46)40-32-28-18-10-8-16-26(28)20-30(32)42/h1-18,29-36,41-44H,19-22H2,(H,39,45)(H,40,46)/t29-,30-,31+,32+,33-,34-,35-,36-/m1/s1	UOHMQWQGAJAUGT-JQFCFGFHSA-N	
elVTJJ@M@iEOO`PHa@HDBJi@xHrJIKIREQQ[QQ[JJIRHb`JKhYyFfiejfhHBBAXXHCE@q@	2vh6	555.070	3.8383	-7.923	7	1	372.44	145.62	high	high	none	35	1	6	CS(c(cccc1)c1-c(cc1)cc(F)c1N(CC[C@@H]1NS(/C=C/c(s2)ccc2Cl)(=O)=O)C1=O)(=O)=O	InChI=1S/C23H20ClFN2O5S3/c1-34(29,30)21-5-3-2-4-17(21)15-6-8-20(18(25)14-15)27-12-10-19(23(27)28)26-35(31,32)13-11-16-7-9-22(24)33-16/h2-9,11,13-14,19,26H,10,12H2,1H3/t19-/m0/s1	GFNBLRVHGQFIQU-IBGZPJMESA-N	
	2z4o																	
eaSRL@@DL@RPGDlbbbbbTRRbRfbVbRRfRfhfdtMuOsNOKUUUUPT@@@A@PD@DDQbBSR@@	1dmp	536.674	3.9509	-5.618	7	4	412.17	116.05	none	none	none	40	4	8	Nc1cccc(CN([C@H](Cc2ccccc2)[C@@H]([C@H]([C@@H](Cc2ccccc2)N2Cc3cc(N)ccc3)O)O)C2=O)c1	InChI=1S/C33H36N4O3/c34-27-15-7-13-25(17-27)21-36-29(19-23-9-3-1-4-10-23)31(38)32(39)30(20-24-11-5-2-6-12-24)37(33(36)40)22-26-14-8-16-28(35)18-26/h1-18,29-32,38-39H,19-22,34-35H2/t29-,30-,31-,32-/m1/s1	KYRSNWPSSXSNEP-SEVDZJIVSA-N	
fcgppDBZzAD`mfclbfbbTlRbebRbrwAMUTuUMUMUVLQTc@@	1ws1	398.478	-1.0458	-2.733	9	3	314.96	138.87	none	none	none	28	3	11	CCCCC[C@H](CC(NO)=O)C(N[C@@H](C(C)C)C(N(CCC1)[C@@H]1C([O-])=O)=O)=O	InChI=1S/C19H33N3O6/c1-4-5-6-8-13(11-15(23)21-28)17(24)20-16(12(2)3)18(25)22-10-7-9-14(22)19(26)27/h12-14,16,28H,4-11H2,1-3H3,(H,20,24)(H,21,23)(H,26,27)/p-1/t13-,14+,16+/m1/s1	MEGTVROTTPHGNP-YCPHGPKFSA-M	
ek[VAH@FEHjhVXDIMCD`ZP@cIICheEMeDheLheEBYUEELUEmejjYjjjjiZijfjjjJEXoItdT@@	2g94	658.859	1.1038	-4.418	14	5	514.39	206.2	none	none	none	45	5	19	CC(C)C[C@@H]([C@H](C[C@@H](C)C(N[C@@H](C(C)C)C(NCC(C)C)=O)=O)O)NC([C@H](CS(C)(=O)=O)NC(OCn1nc(C)cc1C)=O)=O	InChI=1S/C30H54N6O8S/c1-17(2)11-23(25(37)12-20(7)27(38)34-26(19(5)6)29(40)31-14-18(3)4)32-28(39)24(15-45(10,42)43)33-30(41)44-16-36-22(9)13-21(8)35-36/h13,17-20,23-26,37H,11-12,14-16H2,1-10H3,(H,31,40)(H,32,39)(H,33,41)(H,34,38)/t20-,23+,24+,25+,26+/m1/s1	OFAZWNGNAATRSH-GWCXRDAXSA-N	
egRtL@@DL@GDlbbbbbTRRbRfbVbRRfRfrVVHfdpMqOsNLhinmkUUUUPT@@@@@@@@D@@PQFHIMH@@	1hvr	606.764	7.6943	-8.678	5	2	464.33	64.01	none	none	none	46	4	8	O[C@@H]([C@@H](Cc1ccccc1)N(Cc1cc2ccccc2cc1)C(N(Cc1cc2ccccc2cc1)[C@@H]1Cc2ccccc2)=O)[C@H]1O	InChI=1S/C41H38N2O3/c44-39-37(25-29-11-3-1-4-12-29)42(27-31-19-21-33-15-7-9-17-35(33)23-31)41(46)43(38(40(39)45)26-30-13-5-2-6-14-30)28-32-20-22-34-16-8-10-18-36(34)24-32/h1-24,37-40,44-45H,25-28H2/t37-,38-,39-,40-/m1/s1	VUYPJDFAKYXJEV-JUFVCXMFSA-N	
eeWTJ@@DL@GDaYTfYfVUYVy^UWWw|SRXF{GxeEejjjjhJ@@@@@BJh@HHcDDfd@@	1qbs	566.696	4.1109	-5.234	7	4	435.35	104.47	none	none	none	42	4	10	OCc1ccc(CN([C@H](Cc2ccccc2)[C@@H]([C@H]([C@@H](Cc2ccccc2)N2Cc3ccc(CO)cc3)O)O)C2=O)cc1	InChI=1S/C35H38N2O5/c38-23-29-15-11-27(12-16-29)21-36-31(19-25-7-3-1-4-8-25)33(40)34(41)32(20-26-9-5-2-6-10-26)37(35(36)42)22-28-13-17-30(24-39)18-14-28/h1-18,31-34,38-41H,19-24H2/t31-,32-,33-,34-/m1/s1	XCVGQMUMMDXKCY-YFRBGRBWSA-N	
ekXzB@@DJCAm`@en\bbTTbbjVbrbbRbQTtRTTVULlfnIeiEuMZjjjjj`hFbB`B`BBJLHyLd}DT@@	1hsh	613.800	2.8457	-3.323	9	4	476.03	118.03	none	none	none	45	5	12	CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnccc2)C1)=O	InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/t28-,29+,31+,32-,33+/m1/s1	CBVCZFGXHXORBI-PXQQMZJSSA-N	
egX|A@@DGiPJEGHnka\bbTTRbbbtRLtVRTvvbbRbbIgaTvwwIkUUUAUPAPDqPTCTTAq`bHpaEiDiB`@	1ebz	633.739	1.1222	-4.193	11	6	484.02	166.45	none	none	none	46	7	15	CC(C)[C@@H](C(NC)=O)NC([C@@H]([C@@H]([C@H]([C@H](C(N[C@H]([C@@H](C1)O)c2c1cccc2)=O)OCc1ccccc1)O)O)OCc1ccccc1)=O	InChI=1S/C35H43N3O8/c1-21(2)27(33(42)36-3)37-34(43)31(45-19-22-12-6-4-7-13-22)29(40)30(41)32(46-20-23-14-8-5-9-15-23)35(44)38-28-25-17-11-10-16-24(25)18-26(28)39/h4-17,21,26-32,39-41H,18-20H2,1-3H3,(H,36,42)(H,37,43)(H,38,44)/t26-,27+,28+,29-,30-,31-,32-/m1/s1	VZNNJZGVQVNHCM-CDNLURBZSA-N	
eeWTJ@@DL@GDaYTfYfVUYVy^UWWw|SRXF{GxeEejjjjhJ@@@@@BJh@HHcDDfd@@	1met	566.696	4.1109	-5.234	7	4	435.35	104.47	none	none	none	42	4	10	OCc1ccc(CN([C@H](Cc2ccccc2)[C@@H]([C@H]([C@@H](Cc2ccccc2)N2Cc3ccc(CO)cc3)O)O)C2=O)cc1	InChI=1S/C35H38N2O5/c38-23-29-15-11-27(12-16-29)21-36-31(19-25-7-3-1-4-8-25)33(40)34(41)32(20-26-9-5-2-6-10-26)37(35(36)42)22-28-13-17-30(24-39)18-14-28/h1-18,31-34,38-41H,19-24H2/t31-,32-,33-,34-/m1/s1	XCVGQMUMMDXKCY-YFRBGRBWSA-N	
eh\RB@LDKgo`GO@[i^dGdfVYV~WYmUomRpXyZyjB`hZh@@HF`DBIp`@	1ksn	447.513	2.5837	-6.411	8	3	327.15	132.47	none	none	none	33	2	9	C[C@H]([C@@H](Cc1cc(C(N)=[NH2+])ccc1)C(OC)=O)NC(c(cc1)ccc1-c(cc1)cc[n+]1[O-])=O	InChI=1S/C25H26N4O4/c1-16(22(25(31)33-2)15-17-4-3-5-21(14-17)23(26)27)28-24(30)20-8-6-18(7-9-20)19-10-12-29(32)13-11-19/h3-14,16,22H,15H2,1-2H3,(H3,26,27)(H,28,30)/p+1/t16-,22-/m1/s1	PFGVNLZDWRZPJW-OPAMFIHVSA-O	
eg`PL@@@EclbdQRbfdRQfrbRbqgdVTvuUTuUUMMUTuDJHrCRYH\TT@	2o4r	414.627	6.2598	-4.846	3	3	332.1	60.69	none	none	none	30	4	5	CC(C)(CCC/C(/C)=C(\CC1)/[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(C[C@H](C1=C)O)C[C@H]1O)O	InChI=1S/C27H42O3/c1-18(8-6-14-26(3,4)30)22-12-13-23-21(9-7-15-27(22,23)5)11-10-20-16-24(28)19(2)25(29)17-20/h10-11,23-25,28-30H,2,6-9,12-17H2,1,3-5H3/t23-,24-,25+,27-/m1/s1	PCPYFQNISYYIPU-HIQYAUPDSA-N	
egh\LD@ACNn@e`Ha@HrJIKSJJIFZIKJJKDTVNUMGWTuMUUL@ESJqHRQR@@	2p95	441.938	3.3154	-5.703	6	2	323.13	106.75	none	none	none	30	2	5	O=C(c(s1)ccc1Cl)N[C@H](CCC1)[C@H]1NC(c(cc1)ccc1N(C=CC=C1)C1=O)=O	InChI=1S/C22H20ClN3O3S/c23-19-12-11-18(30-19)22(29)25-17-5-3-4-16(17)24-21(28)14-7-9-15(10-8-14)26-13-2-1-6-20(26)27/h1-2,6-13,16-17H,3-5H2,(H,24,28)(H,25,29)/t16-,17+/m0/s1	QCPYHSAHOYXXQK-DLBZAZTESA-N	
elzvN@HLIKAdRPDABg`xtYJDaDrDaHcJaDRDaDrDqDRDaHrDQDQHaLrAzVy]e}ZjfjjhJBbi`B`BjAh@baQJj_P@	2aqu	705.874	1.3931	-6.074	13	6	544.24	172.47	none	none	none	51	4	18	CC(C)(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H](CN(Cc(cc1)ccc1-c1[nH+]cccc1)NC([C@H](C(C)(C)C)NC(OC)=O)=O)O)=O)NC(OC)=O	InChI=1S/C38H52N6O7/c1-37(2,3)31(41-35(48)50-7)33(46)40-29(22-25-14-10-9-11-15-25)30(45)24-44(43-34(47)32(38(4,5)6)42-36(49)51-8)23-26-17-19-27(20-18-26)28-16-12-13-21-39-28/h9-21,29-32,45H,22-24H2,1-8H3,(H,40,46)(H,41,48)(H,42,49)(H,43,47)/p+1/t29-,30-,31+,32+/m0/s1	AXRYRYVKAWYZBR-GASGPIRDSA-O	
ejYXJHHOhDKMc`@cz\ddLrVTTRTtRRVrrRbRDd|bZfFVqIV`@```@@Bjjj@H@@	2ayr	518.652	3.2182	-8.123	6	2	401.73	85.65	none	none	none	37	0	8	CS(c(cc1)ccc1-c(ccc1cc(O)ccc11)c1Oc(cc1)ccc1OCC[NH+]1CCCCC1)(=O)=O	InChI=1S/C30H31NO5S/c1-37(33,34)27-13-5-22(6-14-27)28-15-7-23-21-24(32)8-16-29(23)30(28)36-26-11-9-25(10-12-26)35-20-19-31-17-3-2-4-18-31/h5-16,21,32H,2-4,17-20H2,1H3/p+1	NJVFOFMHUJJIMB-UHFFFAOYSA-O	
ekXzB@HDJCAm`@enSIrJIQRJJiZKJJIJIESQIQQYTrrZxfVdWTujjjjjjB`ZHJ@J@HHXpad\fR^bJ@@	1sdt	614.808	0.736	-3.323	9	5	490.07	119.23	none	none	none	45	6	12	CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CC[N@@H+](Cc2cnccc2)C1)=O	InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/p+1/t28-,29+,31+,32-,33+/m1/s1	CBVCZFGXHXORBI-PXQQMZJSSA-O	
fikqb@NRGjpPUfQQQIHjZSYQIYLEUlDFTuU@AXPM@@	3b65	447.227	2.3035	-5.45	6	2	284.71	106.14	none	none	none	25	1	5	C[C@](COc(cc1)ccc1C#N)(C(Nc(cc1)cc(I)c1C#N)=O)O	InChI=1S/C18H14IN3O3/c1-18(24,11-25-15-6-2-12(9-20)3-7-15)17(23)22-14-5-4-13(10-21)16(19)8-14/h2-8,24H,11H2,1H3,(H,22,23)/t18-/m0/s1	RXSZCFAPSDTELY-SFHVURJKSA-N	
el~rF@@DJ@dPCJeh[\bbTRTRbvfRRTRbQLTVTTRTTVUfNfnU}u]cSZjjijjj`jBijB`B`@BNLHpkHuGdSAT@@	1d4k	698.902	4.5189	-6.055	10	6	550.95	149.02	none	none	none	51	7	11	CC[C@H](C)[C@@H](C(NCCCCCOc1ccc(C[C@@H]2NC[C@H](C[C@@H](Cc3ccccc3)C(N[C@H]([C@@H](C3)O)c4c3cccc4)=O)O)cc1)=O)NC2=O	InChI=1S/C41H54N4O6/c1-3-27(2)37-41(50)42-20-10-5-11-21-51-33-18-16-29(17-19-33)23-35(40(49)44-37)43-26-32(46)24-31(22-28-12-6-4-7-13-28)39(48)45-38-34-15-9-8-14-30(34)25-36(38)47/h4,6-9,12-19,27,31-32,35-38,43,46-47H,3,5,10-11,20-26H2,1-2H3,(H,42,50)(H,44,49)(H,45,48)/t27-,31+,32-,35-,36+,37-,38-/m0/s1	ZXUOAWXMXWTRGE-ZKQACQBYSA-N	
eoTrJ@@LCO`PDMJe\bbRTTTTRqttVTTRTRrTJRbLBR^QqIeMZjhFhHjjB`ZJBAb`PbaQKJCH@	1hps	638.806	5.445	-6.493	9	4	512.47	133.41	none	none	none	47	4	17	CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H](C[C@@H](Cc1ccccc1)c1ncc(C(C(C)C)=O)[nH]1)O)=O)NC(OCc1ccccc1)=O	InChI=1S/C38H46N4O5/c1-25(2)34(42-38(46)47-24-29-18-12-7-13-19-29)37(45)41-31(21-28-16-10-6-11-17-28)33(43)22-30(20-27-14-8-5-9-15-27)36-39-23-32(40-36)35(44)26(3)4/h5-19,23,25-26,30-31,33-34,43H,20-22,24H2,1-4H3,(H,39,40)(H,41,45)(H,42,46)/t30-,31+,33+,34+/m1/s1	RQAVEWKEUKIFLD-LVPKLHHISA-N	
elZ\FH@LDbhDKNahP@cIICEDdeEDXTmELdhlcHk`XTUj`hJhji``hhKBRNSY@@	1hpv	505.634	2.2566	-3.742	9	3	379.56	139.57	none	none	none	35	3	11	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1COCC1)=O)O)S(c(cc1)ccc1N)(=O)=O	InChI=1S/C25H35N3O6S/c1-18(2)15-28(35(31,32)22-10-8-20(26)9-11-22)16-24(29)23(14-19-6-4-3-5-7-19)27-25(30)34-21-12-13-33-17-21/h3-11,18,21,23-24,29H,12-17,26H2,1-2H3,(H,27,30)/t21-,23-,24+/m0/s1	YMARZQAQMVYCKC-OEMFJLHTSA-N	
ecP|JDHEHokOIgePIAbPbgHhdhbheEMMDdlhdhYhdhdSQqTtMmSJrK@DUUSTEAQSAPUEDEQHmDxfdb`@	2qmg	608.704	4.1884	-5.912	8	3	453.17	104.71	none	none	none	44	5	11	Cc1cc(C(N[C@@H](Cc2cc(F)cc(F)c2)[C@@H]([C@@H](C2)[NH2+]C[C@@H]2Oc2ccccc2)O)=O)cc(C(N2[C@@H](COC)CCC2)=O)c1	InChI=1S/C34H39F2N3O5/c1-21-11-23(16-24(12-21)34(42)39-10-6-7-27(39)20-43-2)33(41)38-31(15-22-13-25(35)17-26(36)14-22)32(40)30-18-29(19-37-30)44-28-8-4-3-5-9-28/h3-5,8-9,11-14,16-17,27,29-32,37,40H,6-7,10,15,18-20H2,1-2H3,(H,38,41)/p+1/t27-,29+,30-,31+,32-/m1/s1	KYHYNSQLYDXSNK-UPNJXQDPSA-O	
eh\RBHHI@heaKOA`HaZ\bbRfRRTTtrbRcfbRhXjZ~A`@jjYjjijjhiArSH@	1ta6	480.027	-1.6336	-4.037	8	3	367	115.38	none	none	none	33	2	9	CCNC(COc(cc1)c(CNC([C@H](CCC2)N2C([C@@H](C2CCCCC2)[NH3+])=O)=O)cc1Cl)=O	InChI=1S/C24H35ClN4O4/c1-2-27-21(30)15-33-20-11-10-18(25)13-17(20)14-28-23(31)19-9-6-12-29(19)24(32)22(26)16-7-4-3-5-8-16/h10-11,13,16,19,22H,2-9,12,14-15,26H2,1H3,(H,27,30)(H,28,31)/p+1/t19-,22+/m0/s1	BMHVHOJXEQTIEA-SIKLNZKXSA-O	
edZRD@DDEFk`HUIZgHhdidildddddhheEcPqIh\}|BuKUUUUUUMTsUHBSi@@	1h22	468.683	1.4954	-5.18	6	4	377.4	91.42	none	none	none	34	2	13	O=C1NC(CCC[C@@H]2[NH2+]CCCCCCCCCC[NH2+][C@@H](CCC3)C(C=C4)=C3NC4=O)=C2C=C1	InChI=1S/C28H42N4O2/c33-27-17-15-21-23(11-9-13-25(21)31-27)29-19-7-5-3-1-2-4-6-8-20-30-24-12-10-14-26-22(24)16-18-28(34)32-26/h15-18,23-24,29-30H,1-14,19-20H2,(H,31,33)(H,32,34)/p+2/t23-,24-/m0/s1	CKFAWHBPSZAYLS-ZEQRLZLVSA-P	
eaSTIH@LLhDKHfiejVP@cIICEDdeEECBdcELdhmEdXeTu|ccRsrmTEAUQUTpPTUTQUDd\erAfL@@	2qd7	576.665	3.0257	-4.595	11	2	412.8	141.24	none	none	none	40	5	11	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)cc2c1OCO2)(=O)=O	InChI=1S/C28H36N2O9S/c1-18(2)14-30(40(33,34)20-8-9-24-25(13-20)38-17-37-24)15-23(31)22(12-19-6-4-3-5-7-19)29-28(32)39-26-16-36-27-21(26)10-11-35-27/h3-9,13,18,21-23,26-27,31H,10-12,14-17H2,1-2H3,(H,29,32)/t21-,22-,23+,26-,27-/m0/s1	HNEIRZJZTYYDES-BNUANUANSA-N	
egXrJ@@DLMI`EJgd\bbbTVbaLRTTRtVVbfRRttTSD`vqKNmkUUSUUPTEELDD@QD@PPgHdfh@@	2rkf	628.811	4.847	-6.131	9	4	501.42	120	none	none	high	46	4	15	CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O	InChI=1S/C37H48N4O5/c1-25(2)34(41-20-12-19-38-37(41)45)36(44)39-30(21-28-15-7-5-8-16-28)23-32(42)31(22-29-17-9-6-10-18-29)40-33(43)24-46-35-26(3)13-11-14-27(35)4/h5-11,13-18,25,30-32,34,42H,12,19-24H2,1-4H3,(H,38,45)(H,39,44)(H,40,43)/t30-,31-,32-,34-/m0/s1	KJHKTHWMRKYKJE-SUGCFTRWSA-N	
eaSTIH@LLhDKHfiejVP@cIICEDdeEECBdcELdhmEdXeTu|ccRsrmTEAUQUTpPTUTQUDd\erAfL@@	2qd8	576.665	3.0257	-4.595	11	2	412.8	141.24	none	none	none	40	5	11	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)cc2c1OCO2)(=O)=O	InChI=1S/C28H36N2O9S/c1-18(2)14-30(40(33,34)20-8-9-24-25(13-20)38-17-37-24)15-23(31)22(12-19-6-4-3-5-7-19)29-28(32)39-26-16-36-27-21(26)10-11-35-27/h3-9,13,18,21-23,26-27,31H,10-12,14-17H2,1-2H3,(H,29,32)/t21-,22-,23+,26-,27-/m0/s1	HNEIRZJZTYYDES-BNUANUANSA-N	
